NAME,2018 Population,Growth Rate
Los Angeles,10137915,3.179918158
San Diego,3317749,6.874330374
Orange County,3172532,5.132641426
Riverside,2387741,8.423976467
San Bernardino,2140096,4.826402529
Santa Clara,1919402,7.431000254
Alameda,1647704,8.856124885
Sacramento,1514460,6.500761594
Contra Costa,1135127,7.812133444
Fresno,979915,5.088888245
Kern,884788,5.122161022
San Francisco County,870887,8.081874887
Ventura,849738,2.958609994
San Mateo,764797,6.23139589
San Joaquin,733709,6.739940062
Stanislaus,541560,5.087495294
Sonoma,503070,3.764925735
Tulare,460437,3.916647671
Santa Barbara,446170,5.130585585
Solano,440207,6.321461522
Monterey,435232,4.518809361
Placer,380531,8.650502236
San Luis Obispo,282887,4.808287238
Santa Cruz,274673,4.331294868
Merced,268672,4.610424754
Marin,260651,3.046104702
Butte,226864,3.127968979
Yolo,215802,7.299052317
El Dorado,185625,2.468631488
Imperial,180883,3.508992795
Shasta,179631,1.303293481
Madera,154697,2.38122026
Kings,149785,-1.695237845
Napa,142166,3.912639881
Humboldt,136646,1.195272232
Nevada,99107,0.329007309
Sutter,96651,1.946079362
Mendocino,87628,-0.203856185
Yuba,75275,4.048599784
Lake,64116,-0.968444465
Tehama,63276,-0.464048072
San Benito,59414,6.948194549
Tuolumne,53804,-2.497191113
Calaveras,45171,-0.640095024
Siskiyou,43603,-2.966441161
Amador,37383,-1.283371623
Lassen,30870,-11.38986165
Glenn,28085,-0.085381906
Del Norte,27540,-3.5781808
Colusa,21588,0.662128136
Plumas,18627,-6.481574455
Inyo,18144,-1.993193972
Mariposa,17410,-4.654983571
Mono,13981,-1.860171276
Trinity,12782,-7.1413004
Modoc,8795,-9.283135637
Sierra,2947,-8.47826087
Alpine,1071,-7.672413793
